13.248.73.0/24     AMAZON / DYNAMODB
15.177.100.0/24    AMAZON / EC2 / ROUTE53_HEALTHCHECKS_PUBLISHING
15.190.48.0/20     AMAZON
15.190.8.0/22      AMAZON
15.248.64.0/21     AMAZON
16.12.56.0/23      AMAZON / S3
16.12.58.0/24      AMAZON / S3
3.2.42.192/26      AMAZON / EC2
40.176.0.0/15      AMAZON / EC2
40.178.0.0/15      AMAZON
52.94.250.48/28    AMAZON / EC2
76.223.170.0/28    AMAZON
99.151.168.0/21    AMAZON / EC2
